0.00,1.15,0.89,0.26,0.19,0.87,1.34,1.00,1.16,0.83,1.08,2.16,1.14,0.87,1.13,1.04,0.67,1.24,1.32,1.21,1.61,1.45,1.37
0.90,0.00,1.14,2.26,0.68,1.74,1.68,0.88,0.57,1.12,1.22,0.34,0.58,1.53,1.55,0.48,0.52,1.30,2.02,1.31,0.87,1.03,0.99
0.43,1.19,0.00,0.86,0.78,0.30,0.52,0.27,0.31,0.26,0.60,0.25,0.85,0.49,0.19,0.05,0.42,0.82,1.09,0.74,0.38,0.29,0.77
0.18,2.09,0.74,0.00,0.13,0.53,0.59,1.63,0.32,0.70,0.85,1.12,1.26,1.29,0.39,0.79,1.00,1.12,0.69,0.47,1.13,0.47,2.00
0.55,2.14,0.72,0.14,0.00,0.13,0.83,0.60,0.82,1.06,0.51,0.77,0.90,0.46,0.85,0.54,0.83,0.82,1.13,0.46,0.86,1.13,0.50
1.07,2.15,0.69,0.67,0.42,0.00,0.16,0.61,0.86,0.44,0.62,0.42,0.92,0.55,0.36,0.23,0.68,0.91,0.72,0.89,0.54,1.19,0.79
1.49,1.05,0.53,1.17,0.27,0.27,0.00,0.26,1.09,0.67,0.43,0.95,0.86,0.65,1.09,0.36,0.76,0.61,1.69,1.45,0.70,0.53,0.62
0.80,1.34,0.86,1.22,1.19,0.60,0.36,0.00,1.16,0.87,0.44,0.51,0.61,1.37,1.20,0.31,0.81,0.63,1.98,0.51,1.03,0.49,0.64
0.86,1.36,0.26,0.60,0.91,0.38,0.74,0.44,0.00,0.26,0.48,1.34,0.68,0.15,0.25,0.52,1.11,1.10,0.92,0.74,0.83,0.51,0.95
0.60,1.04,0.58,0.57,0.64,0.38,0.99,0.65,0.29,0.00,0.22,0.51,0.94,0.44,0.34,0.60,0.88,0.71,0.87,1.19,0.70,0.94,0.84
0.84,0.90,0.36,0.44,1.30,0.48,0.47,0.86,0.23,0.26,0.00,0.32,0.44,0.39,0.18,0.41,0.72,0.52,0.70,1.18,1.08,0.90,0.81
1.11,1.06,0.43,1.07,0.97,0.72,0.41,0.36,0.49,0.46,0.16,0.00,0.30,1.26,0.27,0.50,0.40,1.30,1.10,1.96,1.21,1.16,1.16
1.81,0.61,0.49,0.71,1.16,0.85,0.80,0.62,1.57,0.33,0.40,0.17,0.00,1.60,0.47,0.42,0.59,0.70,0.62,1.57,0.59,0.67,1.00
1.32,0.64,0.43,1.43,1.22,0.53,1.54,1.50,0.30,0.24,0.65,0.40,0.61,0.00,0.21,0.61,1.04,0.46,0.31,1.15,0.76,0.58,1.39
1.04,1.12,0.42,0.39,0.45,0.72,0.32,0.52,0.31,0.20,0.68,1.02,0.62,0.18,0.00,0.14,0.79,0.63,0.81,0.64,0.60,0.53,0.83
0.42,1.24,0.19,0.69,1.00,0.32,0.23,0.37,0.53,0.48,0.70,0.50,0.73,0.46,0.39,0.00,0.28,0.33,0.46,0.28,0.40,0.22,0.31
1.42,1.07,0.38,1.33,0.48,0.91,0.61,0.83,0.54,0.63,0.35,0.34,0.65,0.47,0.85,0.19,0.00,0.21,0.62,0.69,0.28,0.43,0.29
1.72,0.79,0.25,1.59,0.45,0.86,0.69,0.72,1.24,1.31,0.75,0.85,0.32,0.76,0.87,0.59,0.28,0.00,0.93,0.39,0.57,0.20,0.24
1.31,1.87,0.64,1.03,1.08,1.31,0.54,0.74,0.67,1.10,1.46,1.51,1.89,1.05,0.29,0.61,0.76,1.28,0.00,0.23,0.67,0.31,1.59
0.55,1.73,0.41,1.20,0.56,0.52,0.54,0.51,0.64,0.40,1.27,1.75,0.93,0.93,0.61,0.68,0.66,0.67,0.23,0.00,0.17,0.41,0.52
0.55,0.93,0.51,1.29,1.19,0.45,0.91,0.53,0.73,0.69,1.13,0.42,0.95,0.87,0.61,0.56,0.58,0.85,0.44,0.33,0.00,0.11,0.78
2.00,0.46,0.50,1.36,0.87,0.84,0.95,0.83,0.58,1.16,0.61,0.59,1.12,1.20,0.90,0.18,0.38,0.41,1.05,0.58,0.20,0.00,0.44
0.77,0.70,0.67,0.91,1.50,0.39,0.33,0.62,0.87,1.20,0.66,0.65,0.88,1.22,0.56,0.24,0.28,0.16,1.01,0.84,0.43,0.24,0.00
