0.00,2.97,0.55,0.22,0.30,1.03,0.47,1.36,0.94,0.92,0.86,0.64,2.12,1.40,0.50,0.77,1.28,1.12,1.36,0.43,0.50,2.03,0.73
1.24,0.00,1.22,0.75,1.91,0.65,0.94,1.36,1.96,0.50,0.67,1.18,0.93,0.68,0.94,1.07,1.27,0.54,0.57,0.95,0.72,0.78,0.36
0.83,0.94,0.00,1.04,0.71,0.55,0.33,0.67,0.84,0.28,0.59,0.42,0.75,0.67,0.38,0.09,0.41,0.65,0.94,0.74,0.68,0.76,0.63
0.16,0.83,1.15,0.00,0.33,0.62,0.55,1.34,0.46,0.83,0.99,1.29,0.97,0.92,0.72,0.73,0.99,0.78,0.86,0.71,0.79,1.04,0.58
0.37,0.81,0.24,0.42,0.00,0.13,0.83,1.06,0.69,0.84,1.28,1.18,0.65,0.80,0.81,0.53,0.45,1.15,0.77,0.91,0.77,1.03,1.04
0.69,0.74,0.64,0.81,0.31,0.00,0.14,0.75,1.02,0.95,0.68,0.82,0.38,0.93,0.64,0.35,0.30,0.56,1.32,0.41,0.84,1.09,0.76
1.18,1.87,0.64,1.21,0.25,0.44,0.00,0.32,0.45,0.40,0.78,0.69,0.59,1.11,0.90,0.40,0.53,0.59,0.76,1.34,1.32,0.43,0.43
1.00,1.16,0.44,0.95,1.27,0.76,0.21,0.00,0.89,0.92,0.78,0.50,0.64,0.60,0.38,1.06,0.59,0.57,0.82,1.66,1.29,0.98,0.48
0.63,0.73,0.75,1.01,0.45,0.92,0.52,0.59,0.00,0.25,0.88,0.87,0.85,0.36,0.27,0.78,0.82,1.18,1.06,0.97,1.33,1.22,0.95
1.34,1.47,0.37,0.75,1.00,0.72,0.95,1.30,0.15,0.00,0.21,0.33,0.85,0.29,0.25,0.65,0.42,0.58,0.67,1.08,0.45,0.70,0.61
1.63,0.59,0.33,0.94,0.77,0.51,0.29,0.73,0.76,0.18,0.00,0.42,0.21,0.68,0.17,0.36,0.56,1.28,1.30,1.02,1.38,1.23,1.02
1.89,0.91,0.66,1.22,1.40,0.54,0.31,0.80,0.82,0.39,0.17,0.00,0.13,0.76,0.33,0.78,0.95,0.34,0.58,1.10,0.87,0.61,0.75
1.47,0.83,1.00,1.85,1.44,0.92,0.56,0.23,0.50,0.76,0.20,0.24,0.00,1.63,1.24,0.47,0.64,0.89,1.13,1.20,0.80,0.86,1.04
1.08,1.51,0.59,0.87,0.55,0.71,0.81,1.29,0.36,0.18,0.59,0.48,1.56,0.00,0.44,0.44,0.35,1.51,1.04,0.58,0.45,1.27,0.70
1.58,1.55,0.14,0.89,0.94,0.94,0.73,1.28,0.22,0.43,0.33,0.36,0.38,0.27,0.00,0.30,0.84,1.09,0.39,0.54,0.48,0.30,0.91
0.98,1.31,0.13,0.99,0.33,0.59,0.62,0.79,0.83,0.28,0.46,0.67,0.75,0.56,0.30,0.00,0.21,0.43,1.00,0.97,0.53,0.46,0.34
0.60,0.54,0.24,1.42,0.34,0.78,0.78,0.83,0.73,0.34,0.26,0.94,0.69,1.31,0.77,0.45,0.00,0.25,0.35,0.88,0.67,0.41,0.53
0.88,1.45,0.51,0.72,0.56,1.07,0.60,0.49,0.58,0.56,1.10,0.58,0.37,0.92,0.80,0.30,0.35,0.00,1.28,1.08,0.41,0.29,0.30
1.35,1.20,1.10,1.01,0.85,1.40,1.52,1.22,0.80,1.07,1.43,1.11,1.95,1.02,0.33,0.45,0.55,1.60,0.00,0.18,0.53,0.95,0.59
0.48,0.83,0.28,1.17,0.94,0.51,1.00,0.56,1.24,0.53,0.64,1.74,0.87,0.65,0.96,0.54,0.91,0.36,0.27,0.00,0.44,0.79,1.24
0.52,0.87,0.58,1.22,0.64,0.47,0.71,1.26,1.20,0.95,0.94,0.68,1.36,0.56,0.80,0.38,0.25,0.40,0.42,0.25,0.00,0.44,0.72
1.42,0.89,0.46,0.66,0.40,1.11,0.88,0.95,1.08,0.96,1.32,0.49,1.30,1.01,0.53,0.57,0.38,0.17,0.98,0.29,0.25,0.00,0.23
1.26,0.42,0.29,0.93,1.28,0.62,1.02,0.97,1.57,0.57,1.09,1.14,0.79,0.68,0.74,0.75,0.31,0.23,1.16,1.04,0.66,0.38,0.00
